redeem,reward,hiveid,server,date,status
allthebestin2025,,hyyni1234,china,2025-01-18T20:39:16.263706Z,已自动领取
bereadyforss32,,ZXFAILXY0322,china,2025-01-18T20:40:38.661079Z,已自动领取
allthebestin2025,,ZXFAILXY0322,china,2025-01-18T20:42:41.289343Z,已自动领取
bereadyforss32,,linchao0510,china,2025-01-18T20:44:23.538509Z,已自动领取
allthebestin2025,,linchao0510,china,2025-01-18T20:44:59.194947Z,已自动领取
bereadyforss32,,gcnu2768,china,2025-01-18T20:46:30.608183Z,手动领取过
allthebestin2025,,gcnu2768,china,2025-01-18T20:46:59.921840Z,手动领取过
bereadyforss32,,wwcc998,china,2025-01-18T20:48:19.130784Z,手动领取过
allthebestin2025,,wwcc998,china,2025-01-18T20:49:43.211344Z,手动领取过
bereadyforss32,,78619630,china,2025-01-18T20:50:07.816329Z,手动领取过
allthebestin2025,,78619630,china,2025-01-18T20:51:06.740105Z,手动领取过
bereadyforss32,,jk187,china,2025-01-18T20:52:32.697027Z,手动领取过
allthebestin2025,,jk187,china,2025-01-18T20:53:25.008012Z,已自动领取
bereadyforss32,,dshujun,china,2025-01-18T20:55:27.846506Z,已自动领取
allthebestin2025,,dshujun,china,2025-01-18T20:56:22.449290Z,已自动领取
bereadyforss32,,kkws228,china,2025-01-18T20:57:32.844245Z,手动领取过
allthebestin2025,,kkws228,china,2025-01-18T20:59:16.797211Z,手动领取过
swxdshappy25,Mystical Scroll x3,1029709109,china,2025-01-18T22:33:37.043303Z,已自动领取
sw2025jan6a8,Energy x1,1029709109,china,2025-01-18T22:35:34.637670Z,手动领取过
bereadyforss32,,1029709109,china,2025-01-18T22:37:39.498152Z,已自动领取
allthebestin2025,,1029709109,china,2025-01-18T22:38:30.407792Z,已自动领取
swxdshappy25,Mystical Scroll x3,yh.24288,china,2025-01-18T23:31:33.313257Z,手动领取过
sw2025jan6a8,Energy x1,yh.24288,china,2025-01-18T23:32:16.154602Z,手动领取过
bereadyforss32,,yh.24288,china,2025-01-18T23:34:49.611890Z,手动领取过
allthebestin2025,,yh.24288,china,2025-01-18T23:36:37.020629Z,手动领取过
swxdshappy25,Mystical Scroll x3,hedgehogss,china,2025-01-18T23:48:55.138886Z,手动领取过
sw2025jan6a8,Energy x1,hedgehogss,china,2025-01-18T23:50:05.738662Z,手动领取过
bereadyforss32,,hedgehogss,china,2025-01-18T23:52:43.814362Z,手动领取过
allthebestin2025,,hedgehogss,china,2025-01-18T23:53:41.343485Z,手动领取过
swxdshappy25,Mystical Scroll x3,si04172,china,2025-01-19T19:05:52.023005Z,手动领取过
sw2025jan6a8,Energy x1,si04172,china,2025-01-19T19:06:35.398202Z,手动领取过
bereadyforss32,,si04172,china,2025-01-19T19:08:51.971216Z,手动领取过
allthebestin2025,,si04172,china,2025-01-19T19:10:16.843744Z,手动领取过
swxdshappy25,Mystical Scroll x3,828511124,china,2025-01-20T00:09:38.249429Z,手动领取过
sw2025jan6a8,Energy x1,828511124,china,2025-01-20T00:10:10.592740Z,手动领取过
bereadyforss32,,828511124,china,2025-01-20T00:14:07.381824Z,手动领取过
allthebestin2025,,828511124,china,2025-01-20T00:15:30.303156Z,手动领取过
MINGNIANHAILAI,,samuer007,china,2025-01-25T21:44:36.237503Z,已自动领取
MINGNIANHAILAI,,safety007,china,2025-01-25T21:45:44.068223Z,已自动领取
MINGNIANHAILAI,,1940519852,china,2025-01-25T21:47:06.981691Z,手动领取过
MINGNIANHAILAI,,763066,china,2025-01-25T21:47:58.778809Z,已自动领取
MINGNIANHAILAI,,Vittical,china,2025-01-25T21:49:37.666193Z,已自动领取
MINGNIANHAILAI,,759830,china,2025-01-25T21:50:43.092438Z,已自动领取
MINGNIANHAILAI,,ZQLDHJ,china,2025-01-25T21:51:46.407816Z,已自动领取
MINGNIANHAILAI,,zhang921027,china,2025-01-25T21:53:07.542608Z,已自动领取
MINGNIANHAILAI,,hyyni1234,china,2025-01-25T21:54:14.974198Z,已自动领取
MINGNIANHAILAI,,ZXFAILXY0322,china,2025-01-25T21:55:20.328089Z,已自动领取
MINGNIANHAILAI,,linchao0510,china,2025-01-25T21:55:49.804162Z,已自动领取
MINGNIANHAILAI,,gcnu2768,china,2025-01-25T21:56:19.124486Z,手动领取过
MINGNIANHAILAI,,wwcc998,china,2025-01-25T21:57:11.029316Z,手动领取过
MINGNIANHAILAI,,78619630,china,2025-01-25T21:58:12.545497Z,手动领取过
MINGNIANHAILAI,,jk187,china,2025-01-25T22:00:08.446980Z,手动领取过
MINGNIANHAILAI,,dshujun,china,2025-01-25T22:01:14.165248Z,已自动领取
MINGNIANHAILAI,,kkws228,china,2025-01-25T22:03:10.975286Z,手动领取过
MINGNIANHAILAI,,1029709109,china,2025-01-25T22:05:20.100176Z,已自动领取
MINGNIANHAILAI,,yh.24288,china,2025-01-25T22:06:04.129882Z,手动领取过
MINGNIANHAILAI,,hedgehogss,china,2025-01-25T22:07:39.132412Z,手动领取过
MINGNIANHAILAI,,si04172,china,2025-01-25T22:08:39.760218Z,手动领取过
MINGNIANHAILAI,,828511124,china,2025-01-25T22:09:20.401941Z,手动领取过
HI2025SHANGHAI,,samuer007,china,2025-01-26T00:40:33.861453Z,已自动领取
HI2025SHANGHAI,,safety007,china,2025-01-26T00:42:09.176654Z,手动领取过
HI2025SHANGHAI,,1940519852,china,2025-01-26T00:43:13.796162Z,手动领取过
HI2025SHANGHAI,,763066,china,2025-01-26T00:44:46.954246Z,已自动领取
HI2025SHANGHAI,,Vittical,china,2025-01-26T00:45:24.473831Z,已自动领取
HI2025SHANGHAI,,759830,china,2025-01-26T00:46:20.831588Z,已自动领取
HI2025SHANGHAI,,ZQLDHJ,china,2025-01-26T00:47:56.252874Z,已自动领取
HI2025SHANGHAI,,zhang921027,china,2025-01-26T00:49:20.722533Z,已自动领取
HI2025SHANGHAI,,hyyni1234,china,2025-01-26T00:51:12.401157Z,已自动领取
HI2025SHANGHAI,,ZXFAILXY0322,china,2025-01-26T00:52:44.909629Z,已自动领取
HI2025SHANGHAI,,linchao0510,china,2025-01-26T00:54:55.197188Z,已自动领取
HI2025SHANGHAI,,gcnu2768,china,2025-01-26T00:56:42.234111Z,手动领取过
HI2025SHANGHAI,,wwcc998,china,2025-01-26T00:57:20.898450Z,手动领取过
HI2025SHANGHAI,,78619630,china,2025-01-26T00:57:44.294916Z,手动领取过
HI2025SHANGHAI,,jk187,china,2025-01-26T00:59:09.084439Z,手动领取过
HI2025SHANGHAI,,dshujun,china,2025-01-26T01:00:08.354110Z,已自动领取
HI2025SHANGHAI,,kkws228,china,2025-01-26T01:00:37.419302Z,手动领取过
HI2025SHANGHAI,,1029709109,china,2025-01-26T01:02:19.086090Z,已自动领取
HI2025SHANGHAI,,yh.24288,china,2025-01-26T01:03:43.688857Z,手动领取过
HI2025SHANGHAI,,hedgehogss,china,2025-01-26T01:04:19.101521Z,手动领取过
HI2025SHANGHAI,,828511124,china,2025-01-26T01:12:31.125842Z,手动领取过
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",samuer007,china,2025-02-01T23:20:15.561534Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",safety007,china,2025-02-01T23:20:49.981889Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",1940519852,china,2025-02-01T23:21:27.441733Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",763066,china,2025-02-01T23:23:22.055602Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",Vittical,china,2025-02-01T23:25:19.227487Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",759830,china,2025-02-01T23:27:19.132892Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",ZQLDHJ,china,2025-02-01T23:27:47.595323Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",zhang921027,china,2025-02-01T23:28:27.865302Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",hyyni1234,china,2025-02-01T23:29:43.796209Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",ZXFAILXY0322,china,2025-02-01T23:31:50.848820Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",linchao0510,china,2025-02-01T23:33:04.460904Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",gcnu2768,china,2025-02-01T23:33:37.998453Z,手动领取过
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",wwcc998,china,2025-02-01T23:34:53.600334Z,手动领取过
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",78619630,china,2025-02-01T23:35:24.798630Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",jk187,china,2025-02-01T23:36:05.819718Z,手动领取过
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",dshujun,china,2025-02-01T23:37:53.519337Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",kkws228,china,2025-02-01T23:39:45.499883Z,手动领取过
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",1029709109,china,2025-02-01T23:41:31.911476Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",yh.24288,china,2025-02-01T23:42:29.101815Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",hedgehogss,china,2025-02-01T23:44:17.783014Z,手动领取过
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",si04172,china,2025-02-01T23:45:02.963235Z,已自动领取
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",828511124,china,2025-02-01T23:46:26.886606Z,手动领取过
sankaimenojvsk,Mystical Scroll x3,samuer007,china,2025-02-10T04:54:50.844589Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",samuer007,china,2025-02-10T04:55:45.399018Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,safety007,china,2025-02-10T04:57:44.776778Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",safety007,china,2025-02-10T04:58:22.614913Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",1940519852,china,2025-02-10T04:59:43.058507Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,1940519852,china,2025-02-10T04:59:44.620884Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,763066,china,2025-02-10T05:01:50.145158Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,Vittical,china,2025-02-10T05:07:00.671419Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",Vittical,china,2025-02-10T05:26:44.015858Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,759830,china,2025-02-10T05:30:13.103780Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",759830,china,2025-02-10T05:31:27.283154Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,ZQLDHJ,china,2025-02-10T05:33:40.845226Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",ZQLDHJ,china,2025-02-10T05:35:32.401569Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,zhang921027,china,2025-02-10T05:39:33.366883Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",zhang921027,china,2025-02-10T05:40:56.597874Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,hyyni1234,china,2025-02-10T05:45:28.459261Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",hyyni1234,china,2025-02-10T05:47:26.902146Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,ZXFAILXY0322,china,2025-02-10T05:52:42.839671Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",ZXFAILXY0322,china,2025-02-10T05:54:29.323783Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,linchao0510,china,2025-02-10T05:59:58.228604Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",linchao0510,china,2025-02-10T06:01:58.723246Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,gcnu2768,china,2025-02-10T06:05:27.466851Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",gcnu2768,china,2025-02-10T06:07:25.301261Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,wwcc998,china,2025-02-10T06:11:30.274064Z,手动领取过
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",wwcc998,china,2025-02-10T06:13:27.091468Z,手动领取过
sankaimenojvsk,Mystical Scroll x3,78619630,china,2025-02-10T06:18:09.546726Z,手动领取过
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",78619630,china,2025-02-10T06:19:14.443863Z,手动领取过
sankaimenojvsk,Mystical Scroll x3,jk187,china,2025-02-10T06:22:21.471481Z,手动领取过
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",jk187,china,2025-02-10T06:23:43.084019Z,手动领取过
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",dshujun,china,2025-02-10T06:42:43.289735Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,kkws228,china,2025-02-10T06:47:34.544510Z,手动领取过
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",kkws228,china,2025-02-10T06:48:55.922405Z,手动领取过
sankaimenojvsk,Mystical Scroll x3,1029709109,china,2025-02-10T06:52:41.258416Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",1029709109,china,2025-02-10T06:53:05.096903Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,yh.24288,china,2025-02-10T06:57:14.515131Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",yh.24288,china,2025-02-10T06:59:03.536783Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,hedgehogss,china,2025-02-10T07:02:25.668800Z,手动领取过
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",hedgehogss,china,2025-02-10T07:04:26.178747Z,手动领取过
sankaimenojvsk,Mystical Scroll x3,si04172,china,2025-02-10T07:07:48.804612Z,已自动领取
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",si04172,china,2025-02-10T07:08:32.772399Z,已自动领取
sankaimenojvsk,Mystical Scroll x3,828511124,china,2025-02-10T07:11:09.881757Z,手动领取过
20jpteamhadare25,"Mana x100000, Mystical Scroll x2",828511124,china,2025-02-10T07:11:59.437692Z,手动领取过
sw2025feb3d9,"Energy x1, Mana x1, Crystal x1",1711365230,china,2025-02-11T15:43:15.016446Z,手动领取过
swxdshappy25,Mystical Scroll x3,1711365230,china,2025-02-11T15:51:21.578018Z,已自动领取
2025GHLSKAISHI,,samuer007,china,2025-02-15T18:50:09.696270Z,已自动领取
2025GHLSKAISHI,,safety007,china,2025-02-15T18:51:18.287942Z,已自动领取
2025GHLSKAISHI,,1940519852,china,2025-02-15T18:52:54.889954Z,已自动领取
2025GHLSKAISHI,,763066,china,2025-02-15T18:54:52.276758Z,已自动领取
2025GHLSKAISHI,,Vittical,china,2025-02-15T18:56:14.409528Z,已自动领取
2025GHLSKAISHI,,759830,china,2025-02-15T18:56:40.538783Z,已自动领取
2025GHLSKAISHI,,ZQLDHJ,china,2025-02-15T18:57:12.508519Z,已自动领取
2025GHLSKAISHI,,zhang921027,china,2025-02-15T18:57:56.448163Z,已自动领取
2025GHLSKAISHI,,hyyni1234,china,2025-02-15T18:58:33.203853Z,已自动领取
2025GHLSKAISHI,,ZXFAILXY0322,china,2025-02-15T18:59:14.897665Z,已自动领取
2025GHLSKAISHI,,linchao0510,china,2025-02-15T18:59:51.515758Z,已自动领取
2025GHLSKAISHI,,gcnu2768,china,2025-02-15T19:00:25.332047Z,已自动领取
2025GHLSKAISHI,,wwcc998,china,2025-02-15T19:01:01.448735Z,手动领取过
2025GHLSKAISHI,,78619630,china,2025-02-15T19:02:03.782450Z,手动领取过
2025GHLSKAISHI,,jk187,china,2025-02-15T19:03:59.760408Z,手动领取过
2025GHLSKAISHI,,dshujun,china,2025-02-15T19:04:55.333220Z,手动领取过
2025GHLSKAISHI,,kkws228,china,2025-02-15T19:05:24.991105Z,手动领取过
2025GHLSKAISHI,,1029709109,china,2025-02-15T19:05:58.753285Z,已自动领取
2025GHLSKAISHI,,yh.24288,china,2025-02-15T19:07:49.633860Z,手动领取过
2025GHLSKAISHI,,hedgehogss,china,2025-02-15T19:09:33.991511Z,已自动领取
2025GHLSKAISHI,,si04172,china,2025-02-15T19:10:52.266480Z,已自动领取
2025GHLSKAISHI,,828511124,china,2025-02-15T19:11:16.036414Z,已自动领取
2025GHLSKAISHI,,1711365230,china,2025-02-15T19:12:00.288974Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",samuer007,china,2025-02-20T17:30:42.472760Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",safety007,china,2025-02-20T17:31:56.105163Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",1940519852,china,2025-02-20T17:34:17.382811Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",763066,china,2025-02-20T17:36:03.085844Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",Vittical,china,2025-02-20T17:39:27.060853Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",759830,china,2025-02-20T17:42:43.589046Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",ZQLDHJ,china,2025-02-20T17:45:29.314514Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",zhang921027,china,2025-02-20T17:46:56.826809Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",hyyni1234,china,2025-02-20T17:50:02.745439Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",ZXFAILXY0322,china,2025-02-20T17:53:29.117767Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",linchao0510,china,2025-02-20T17:55:56.984582Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",gcnu2768,china,2025-02-20T17:58:39.887959Z,已自动领取
swelday1,"Mana x100000, Mystical Scroll x2",wwcc998,china,2025-02-20T18:02:19.355890Z,手动领取过
swelishere,"Energy x100, Mystical Scroll x1",wwcc998,china,2025-02-20T18:03:18.227990Z,手动领取过
swelday1,"Mana x100000, Mystical Scroll x2",78619630,china,2025-02-20T18:03:55.520457Z,手动领取过
swelishere,"Energy x100, Mystical Scroll x1",78619630,china,2025-02-20T18:04:38.798059Z,手动领取过
swelday1,"Mana x100000, Mystical Scroll x2",jk187,china,2025-02-20T18:05:56.160614Z,手动领取过
swelishere,"Energy x100, Mystical Scroll x1",jk187,china,2025-02-20T18:07:02.257062Z,手动领取过
swelday1,"Mana x100000, Mystical Scroll x2",dshujun,china,2025-02-20T18:08:20.493043Z,手动领取过
swelishere,"Energy x100, Mystical Scroll x1",dshujun,china,2025-02-20T18:08:55.475581Z,手动领取过
swelday1,"Mana x100000, Mystical Scroll x2",kkws228,china,2025-02-20T18:09:30.492937Z,手动领取过
swelishere,"Energy x100, Mystical Scroll x1",kkws228,china,2025-02-20T18:10:25.947832Z,手动领取过
swelday1,"Mana x100000, Mystical Scroll x2",yh.24288,china,2025-02-20T18:14:20.514090Z,手动领取过
swelishere,"Energy x100, Mystical Scroll x1",yh.24288,china,2025-02-20T18:15:16.256335Z,手动领取过
swelday1,"Mana x100000, Mystical Scroll x2",hedgehogss,china,2025-02-20T18:16:52.164883Z,手动领取过
THX4ENJDSCOLLAB,,samuer007,china,2025-03-01T11:49:35.585303Z,已自动领取
THX4ENJDSCOLLAB,,safety007,china,2025-03-01T11:52:22.018488Z,已自动领取
THX4ENJDSCOLLAB,,1940519852,china,2025-03-01T11:54:13.829835Z,已自动领取
THX4ENJDSCOLLAB,,763066,china,2025-03-01T11:56:00.977793Z,已自动领取
THX4ENJDSCOLLAB,,Vittical,china,2025-03-01T11:57:48.068645Z,已自动领取
THX4ENJDSCOLLAB,,759830,china,2025-03-01T11:59:58.572328Z,已自动领取
THX4ENJDSCOLLAB,,ZQLDHJ,china,2025-03-01T12:01:08.733593Z,已自动领取
THX4ENJDSCOLLAB,,zhang921027,china,2025-03-01T12:03:27.992091Z,已自动领取
THX4ENJDSCOLLAB,,hyyni1234,china,2025-03-01T12:06:08.348230Z,已自动领取
THX4ENJDSCOLLAB,,ZXFAILXY0322,china,2025-03-01T12:07:50.226694Z,已自动领取
sw2025mar1n3,,samuer007,china,2025-03-01T12:26:04.535169Z,已自动领取
sw2025mar1n3,,safety007,china,2025-03-01T12:29:43.775343Z,已自动领取
sw2025mar1n3,,1940519852,china,2025-03-01T12:33:22.276691Z,已自动领取
sw2025mar1n3,,763066,china,2025-03-01T12:36:46.952283Z,已自动领取
sw2025mar1n3,,Vittical,china,2025-03-01T12:38:46.465686Z,已自动领取
sw2025mar1n3,,759830,china,2025-03-01T12:43:26.779563Z,已自动领取
sw2025mar1n3,,ZQLDHJ,china,2025-03-01T12:46:28.984863Z,已自动领取
sw2025mar1n3,,zhang921027,china,2025-03-01T12:49:34.744692Z,已自动领取
sw2025mar1n3,,hyyni1234,china,2025-03-01T12:53:24.957275Z,已自动领取
sw2025mar1n3,,ZXFAILXY0322,china,2025-03-01T12:56:38.745013Z,已自动领取
THX4ENJDSCOLLAB,,linchao0510,china,2025-03-01T13:02:22.558667Z,已自动领取
sw2025mar1n3,,linchao0510,china,2025-03-01T13:03:32.975800Z,已自动领取
THX4ENJDSCOLLAB,,gcnu2768,china,2025-03-01T13:10:07.401538Z,已自动领取
sw2025mar1n3,,gcnu2768,china,2025-03-01T13:12:07.094056Z,已自动领取
THX4ENJDSCOLLAB,,wwcc998,china,2025-03-01T13:16:18.583916Z,手动领取过
sw2025mar1n3,,wwcc998,china,2025-03-01T13:16:49.321909Z,手动领取过
THX4ENJDSCOLLAB,,78619630,china,2025-03-01T13:22:47.589456Z,手动领取过
sw2025mar1n3,,78619630,china,2025-03-01T13:23:54.547788Z,手动领取过
THX4ENJDSCOLLAB,,jk187,china,2025-03-01T13:29:34.710459Z,手动领取过
sw2025mar1n3,,jk187,china,2025-03-01T13:31:29.605719Z,手动领取过
321cnqrrnxt12,,jk187,china,2025-03-01T13:33:40.059216Z,手动领取过
THX4ENJDSCOLLAB,,dshujun,china,2025-03-01T13:36:02.016495Z,手动领取过
sw2025mar1n3,,dshujun,china,2025-03-01T13:36:45.351939Z,手动领取过
321cnqrrnxt12,,dshujun,china,2025-03-01T13:39:19.386579Z,手动领取过
THX4ENJDSCOLLAB,,kkws228,china,2025-03-01T13:43:03.946310Z,手动领取过
sw2025mar1n3,,kkws228,china,2025-03-01T13:43:44.102330Z,手动领取过
THX4ENJDSCOLLAB,,1029709109,china,2025-03-01T13:50:02.524155Z,已自动领取
sw2025mar1n3,,1029709109,china,2025-03-01T13:50:52.604813Z,已自动领取
THX4ENJDSCOLLAB,,yh.24288,china,2025-03-01T13:56:32.931341Z,手动领取过
sw2025mar1n3,,yh.24288,china,2025-03-01T13:57:09.924555Z,已自动领取
THX4ENJDSCOLLAB,,hedgehogss,china,2025-03-01T14:02:17.906865Z,手动领取过
